method,display,k,minimum_source_cells,included_source_clusters,included_source_cells,equal_cluster_weight_recall,source_cell_weighted_recall
pca2,PCA (2D),1,0,20,1306127,0.35,0.19245754815573066
pca2,PCA (2D),1,1000,17,1305364,0.29411764705882354,0.19207975706393007
pca2,PCA (2D),1,10000,15,1294801,0.3333333333333333,0.19364674571613708
pca2,PCA (2D),2,0,20,1306127,0.425,0.3471672356516633
pca2,PCA (2D),2,1000,17,1305364,0.38235294117647056,0.3468798741194027
pca2,PCA (2D),2,10000,15,1294801,0.4,0.3477642510316257
pca2,PCA (2D),3,0,20,1306127,0.4333333333333333,0.4011809979682935
pca2,PCA (2D),3,1000,17,1305364,0.41176470588235287,0.40105722746043754
pca2,PCA (2D),3,10000,15,1294801,0.4444444444444444,0.40303207468432084
pca2,PCA (2D),4,0,20,1306127,0.55,0.6383422132763507
pca2,PCA (2D),4,1000,17,1305364,0.5588235294117647,0.6383338287251679
pca2,PCA (2D),4,10000,15,1294801,0.5833333333333334,0.6406231536738078
pca2,PCA (2D),5,0,20,1306127,0.62,0.8269154530914681
pca2,PCA (2D),5,1000,17,1305364,0.6352941176470589,0.8269955353449304
pca2,PCA (2D),5,10000,15,1294801,0.6666666666666666,0.8306294171845711
pca2,PCA (2D),6,0,20,1306127,0.6083333333333333,0.7550146348708817
pca2,PCA (2D),6,1000,17,1305364,0.6176470588235294,0.7549694950986852
pca2,PCA (2D),6,10000,15,1294801,0.6444444444444444,0.7578860895741252
pca2,PCA (2D),7,0,20,1306127,0.6214285714285713,0.765832112803732
pca2,PCA (2D),7,1000,17,1305364,0.6386554621848739,0.7658572080825183
pca2,PCA (2D),7,10000,15,1294801,0.6666666666666665,0.7687162517086188
pca2,PCA (2D),8,0,20,1306127,0.6125,0.7166286279971243
pca2,PCA (2D),8,1000,17,1305364,0.625,0.7166096008469668
pca2,PCA (2D),8,10000,15,1294801,0.65,0.7190041172350037
pca2,PCA (2D),9,0,20,1306127,0.65,0.7595130063496462
pca2,PCA (2D),9,1000,17,1305364,0.6732026143790849,0.7595572320568567
pca2,PCA (2D),9,10000,15,1294801,0.7037037037037037,0.7622115075770117
pca2,PCA (2D),10,0,20,1306127,0.6900000000000001,0.8075578408531483
pca2,PCA (2D),10,1000,17,1305364,0.711764705882353,0.8076116700016243
